,Year,Manufacturer,Model,charge240,feScore,fuelCost08,fuelType1,VClass
28075,2018,,370,0.0,5.0,2700.0,0,0
28076,2018,,445,0.0,4.0,2950.0,0,0
28077,2018,,98,0.0,6.0,1850.0,1,2
28096,2018,,268,0.0,3.0,3850.0,0,0
28097,2018,,151,0.0,7.0,1700.0,1,2
28117,2018,,157,0.0,1.0,4650.0,0,0
28121,2018,,58,0.0,7.0,1700.0,1,2
28129,2018,,14,0.0,5.0,2300.0,1,0
28130,2018,,14,0.0,3.0,2950.0,1,0
28143,2018,,101,0.0,5.0,2700.0,0,1
28144,2018,,446,0.0,5.0,2600.0,0,2
28145,2018,,440,0.0,3.0,3450.0,0,2
28174,2018,,135,0.0,5.0,2500.0,0,0
28181,2018,,443,1.0,8.0,2200.0,0,2
28182,2018,,36,0.0,6.0,1850.0,1,2
28194,2019,,108,0.0,4.0,3250.0,0,2
28196,2018,,121,0.0,4.0,2950.0,0,1
28201,2019,,40,0.0,7.0,1750.0,1,2
28203,2018,,133,0.0,4.0,3250.0,0,2
28204,2019,,182,0.0,5.0,2850.0,0,2
28205,2018,,21,0.0,7.0,2200.0,0,1
28206,2018,,365,0.0,6.0,2400.0,0,1
28209,2019,,63,0.0,5.0,2500.0,0,0
28210,2019,,304,0.0,5.0,2700.0,0,0
28211,2019,,80,0.0,7.0,2200.0,0,0
28212,2019,,80,0.0,7.0,2050.0,0,0
28213,2019,,249,0.0,7.0,2200.0,0,0
28215,2019,,65,0.0,6.0,2400.0,0,2
28217,2019,,33,0.0,5.0,2600.0,0,2
28218,2019,,66,0.0,4.0,3100.0,0,2
28219,2019,,263,0.0,4.0,3100.0,0,2
28221,2019,,67,0.0,2.0,4100.0,0,2
28232,2019,,41,0.0,6.0,2350.0,0,2
28248,2019,,68,0.0,5.0,2850.0,0,2
28249,2019,,68,0.0,3.0,3450.0,0,2
28257,2019,,87,0.0,5.0,2850.0,0,1
28259,2019,,204,0.0,4.0,2950.0,0,1
28260,2019,,88,0.0,4.0,2950.0,0,1
28265,2019,,117,0.0,5.0,2850.0,0,1
28266,2019,,118,0.0,5.0,2850.0,0,1
28267,2019,,87,0.0,5.0,2700.0,0,1
28268,2019,,89,0.0,5.0,2850.0,0,1
28270,2019,,115,0.0,5.0,2700.0,0,2
28271,2019,,41,0.0,5.0,2850.0,0,2
28279,2019,,26,0.0,8.0,1600.0,1,0
28302,2019,,14,0.0,5.0,2300.0,1,0
28303,2019,,13,0.0,5.0,2300.0,1,0
28312,2019,,281,0.0,4.0,3100.0,0,1
28327,2019,,127,0.0,5.0,2700.0,0,0
28328,2019,,174,0.0,5.0,2700.0,0,0
28329,2019,,128,0.0,4.0,3100.0,0,0
28330,2019,,129,0.0,4.0,3250.0,0,0
28331,2019,,49,0.0,3.0,3450.0,0,0
28332,2019,,49,0.0,4.0,2650.0,1,0
28333,2019,,49,0.0,4.0,3250.0,0,0
28334,2019,,20,0.0,3.0,3450.0,0,2
28336,2019,,279,0.0,6.0,1850.0,1,2
28347,2019,,47,0.0,6.0,2400.0,0,2
28356,2019,,101,0.0,5.0,2700.0,0,1
28363,2019,,155,0.0,10.0,1150.0,1,2
28368,2019,,96,0.0,8.0,1550.0,1,2
28378,2019,,43,0.0,5.0,2700.0,0,0
28379,2019,,422,0.0,5.0,2850.0,0,0
28381,2019,,98,0.0,7.0,1700.0,1,2
28382,2019,,4,0.0,7.0,1650.0,1,2
28402,2019,,56,0.0,7.0,1700.0,1,0
28407,2019,,69,0.0,7.0,2200.0,0,0
28408,2019,,100,0.0,7.0,1650.0,1,2
28415,2019,,220,0.0,6.0,2400.0,0,2
28416,2019,,51,0.0,4.0,3100.0,0,2
28430,2019,,154,0.0,5.0,2500.0,0,2
28445,2019,,206,0.0,4.0,2950.0,0,0
28458,2019,,93,0.0,4.0,3250.0,0,0
28460,2019,,267,0.0,4.0,3250.0,0,0
28461,2019,,274,0.0,6.0,2400.0,0,2
28470,2019,,10,0.0,3.0,3650.0,0,0
28471,2019,,178,0.0,8.0,1500.0,1,2
28478,2019,,261,0.0,2.0,4100.0,0,0
28482,2020,,447,0.0,6.0,2400.0,0,2
28497,2020,,126,0.0,6.0,2400.0,0,0
28499,2019,,156,0.0,7.0,1750.0,1,2
28500,2020,,127,0.0,5.0,2600.0,0,0
28502,2020,,448,0.0,5.0,2600.0,0,0
28503,2020,,175,0.0,4.0,3250.0,0,0
28504,2020,,175,0.0,3.0,3450.0,0,0
28505,2020,,63,0.0,5.0,2500.0,0,0
28506,2020,,271,0.0,4.0,3250.0,0,0
28507,2020,,18,0.0,6.0,2400.0,0,2
28508,2020,,323,0.0,5.0,2500.0,0,2
28509,2020,,323,0.0,5.0,2850.0,0,2
28510,2020,,226,0.0,5.0,2850.0,0,2
28511,2020,,424,0.0,5.0,2600.0,0,2
28512,2020,,290,0.0,5.0,2600.0,0,2
28513,2020,,113,0.0,5.0,2600.0,0,2
28517,2020,,108,0.0,4.0,2950.0,0,2
28518,2020,,40,0.0,6.0,1850.0,1,2
28523,2019,,275,0.0,4.0,2950.0,0,0
28552,2020,,98,0.0,6.0,1850.0,1,2
28553,2020,,101,0.0,6.0,2400.0,0,1
28554,2020,,49,0.0,2.0,4100.0,0,0
28555,2020,,49,0.0,5.0,2850.0,0,0
28577,2020,,49,0.0,4.0,2400.0,1,0
28585,2020,,16,0.0,1.0,5050.0,0,1
28586,2020,,17,0.0,7.0,2100.0,0,1
28588,2020,,449,0.0,5.0,2850.0,0,0
28589,2020,,23,0.0,7.0,2200.0,0,0
28590,2020,,141,0.0,6.0,2350.0,0,2
28591,2020,,184,0.0,6.0,1900.0,1,2
28614,2020,,207,0.0,4.0,2950.0,0,0
28615,2020,,96,0.0,8.0,1500.0,1,2
28639,2020,,185,0.0,4.0,3250.0,0,1
28640,2020,,91,0.0,5.0,2600.0,0,0
28649,2020,,231,0.0,5.0,2300.0,1,0
